0,0,1920,1080
1920,0,1920,1080
3840,0,1920,1080
5760,0,1920,1080
7680,0,1920,1080
9600,0,1920,1080
0,1080,1920,1080
1920,1080,1920,1080
3840,1080,1920,1080
5760,1080,1920,1080
7680,1080,1920,1080
9600,1080,1920,1080
0,2160,1920,1080
1920,2160,1920,1080
3840,2160,1920,1080
5760,2160,1920,1080
7680,2160,1920,1080
9600,2160,1920,1080
0,3240,1920,1080
1920,3240,1920,1080
3840,3240,1920,1080
5760,3240,1920,1080
7680,3240,1920,1080
9600,3240,1920,1080
0,4320,1920,1080
1920,4320,1920,1080
3840,4320,1920,1080
5760,4320,1920,1080
7680,4320,1920,1080
9600,4320,1920,1080
0,5400,1920,1080
1920,5400,1920,1080
3840,5400,1920,1080
5760,5400,1920,1080
7680,5400,1920,1080
9600,5400,1920,1080
0,6480,1920,1080
1920,6480,1920,1080
3840,6480,1920,1080
5760,6480,1920,1080
7680,6480,1920,1080
9600,6480,1920,1080
0,7560,1920,1080
1920,7560,1920,1080
3840,7560,1920,1080
5760,7560,1920,1080
7680,7560,1920,1080
9600,7560,1920,1080
0,8640,1920,1080
1920,8640,1920,1080
3840,8640,1920,1080
5760,8640,1920,1080
7680,8640,1920,1080
9600,8640,1920,1080
